Country,Aliases
Abkhazia,abkhazia
Afghanistan,afghanistan
Albania,albania
Algeria,algeria
Andorra,andorra
Angola,angola
Antigua And Barbuda,antigua and barbuda
Argentina,argentina
Armenia,armenia
Artsakh,artsakh
Australia,australia
Austria,austria
Azerbaijan,azerbaijan
"Bahamas, The","bahamas, the"
Bahrain,bahrain
Bangladesh,bangladesh
Barbados,barbados
Belarus,belarus
Belgium,belgium
Belize,belize
Benin,benin
Bhutan,bhutan
Bissau,bissau
Bolivia,bolivia
Bosnia And Herzegovina,bosnia and herzegovina
Botswana,botswana
Brazil,brazil
Brunei,brunei
Bulgaria,bulgaria
Burkina Faso,burkina faso
Burundi,burundi
Cambodia,cambodia
Cameroon,cameroon
Canada,canada
Cape Verde,cape verde
Central African Republic,central african republic
Chad,chad
Chile,chile
"China, People'S Republic Of","china, people's republic of"
Colombia,colombia
Comoros,comoros
"Congo, Democratic Republic Of The","congo, democratic republic of the"
"Congo, Republic Of The","congo, republic of the"
Cook Islands,cook islands
Costa Rica,costa rica
Croatia,croatia
Cuba,cuba
Cyprus,cyprus
Czech Republic,czech republic
Denmark,denmark
Djibouti,djibouti
Dominica,dominica
Dominican Republic,dominican republic
Donetsk People'S Republic,donetsk people's republic
East Timor,east timor
Ecuador,ecuador
Egypt,egypt
El Salvador,el salvador
Equatorial Guinea,equatorial guinea
Eritrea,eritrea
Estonia,estonia
Eswatini,eswatini
Ethiopia,ethiopia
Fiji,fiji
Finland,finland
France,france
Gabon,gabon
"Gambia, The","gambia, the"
Georgia,georgia
Germany,germany
Ghana,ghana
Greece,greece
Grenada,grenada
Guatemala,guatemala
Guinea,guinea
Guyana,guyana
Haiti,haiti
Honduras,honduras
Hungary,hungary
Iceland,iceland
India,india
Indonesia,indonesia
Iran,iran
Iraq,iraq
Ireland,ireland
Israel,israel
Italy,italy
Ivory Coast,ivory coast
Jamaica,jamaica
Japan,japan
Jordan,jordan
Kazakhstan,kazakhstan
Kenya,kenya
Kiribati,kiribati
"Korea, North","korea, north"
"Korea, South","korea, south"
Kosovo,kosovo
Kuwait,kuwait
Kyrgyzstan,kyrgyzstan
Laos,laos
Latvia,latvia
Lebanon,lebanon
Lesotho,lesotho
Liberia,liberia
Libya,libya
Liechtenstein,liechtenstein
Lithuania,lithuania
Luhansk People'S Republic,luhansk people's republic
Luxembourg,luxembourg
Madagascar,madagascar
Malawi,malawi
Malaysia,malaysia
Maldives,maldives
Mali,mali
Malta,malta
Marshall Islands,marshall islands
Mauritania,mauritania
Mauritius,mauritius
Mexico,mexico
"Micronesia, Federated States Of","micronesia, federated states of"
Moldova,moldova
Monaco,monaco
Mongolia,mongolia
Montenegro,montenegro
Morocco,morocco
Mozambique,mozambique
Myanmar,myanmar
Namibia,namibia
Nauru,nauru
Nepal,nepal
Netherlands,netherlands
New Zealand,new zealand
Nicaragua,nicaragua
Niger,niger
Nigeria,nigeria
Niue,niue
North Macedonia,north macedonia
Northern Cyprus,northern cyprus
Norway,norway
Oman,oman
Pakistan,pakistan
Palau,palau
Palestine,palestine
Panama,panama
Papua New Guinea,papua new guinea
Paraguay,paraguay
Peru,peru
Philippines,philippines
Poland,poland
Portugal,portugal
Qatar,qatar
Romania,romania
Russia,"russia, soviet union, ussr"
Rwanda,rwanda
Sahrawi Arab Democratic Republic,sahrawi arab democratic republic
Saint Kitts And Nevis,saint kitts and nevis
Saint Lucia,saint lucia
Saint Vincent And The Grenadines,saint vincent and the grenadines
Samoa,samoa
San Marino,san marino
Saudi Arabia,saudi arabia
Senegal,senegal
Serbia,serbia
Seychelles,seychelles
Sierra Leone,sierra leone
Singapore,singapore
Slovakia,slovakia
Slovenia,slovenia
Solomon Islands,solomon islands
Somalia,somalia
Somaliland,somaliland
South Africa,south africa
South Ossetia,south ossetia
South Sudan,south sudan
Spain,spain
Sri Lanka,sri lanka
Sudan,sudan
Suriname,suriname
Sweden,sweden
Switzerland,switzerland
Syria,syria
São Tomé And Príncipe,são tomé and príncipe
Taiwan,taiwan
Tajikistan,tajikistan
Tanzania,tanzania
Thailand,thailand
Togo,togo
Tonga,tonga
Transnistria,transnistria
Trinidad And Tobago,trinidad and tobago
Tunisia,tunisia
Turkey,turkey
Turkmenistan,turkmenistan
Tuvalu,tuvalu
Uganda,uganda
Ukraine,ukraine
United Arab Emirates,united arab emirates
United Kingdom,"britain, england, great britain, uk, united kingdom"
United States,"america, u.s., united states, united states of america, usa"
Uruguay,uruguay
Uzbekistan,uzbekistan
Vanuatu,vanuatu
Vatican City (Holy See),vatican city (holy see)
Venezuela,venezuela
Vietnam,vietnam
Yemen,yemen
Zambia,zambia
Zimbabwe,zimbabwe
